#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,autorandr, "to auto-detect connected display hardware and load appropiate X11 setup using xrandr.",
,xf86-video-intel,"is graphics video drivers for X.org Intel i810/i830/i915/945G/G965+ machines."
,ttf-linux-libertine,"provides the sans and serif fonts for PARBS."
A,lf-git,"is an extensive terminal file manager that everyone likes."
,ranger,"is simple, vim-like file manager."
,nautilus,"is gui file manager from gnome"
,ueberzug, "for previews of images in ranger."
,ffmpegthumbnailer, "is lightweight video thumbnailer that can be used by file managers."
,w3m,"is a text-based Web browser as well as pager"
,transmission-cli,"is a fast, easy, and free BitTorrent client."
A,tremc-git,"is a curses interface for transmission - python3 fork of transmission-remote-cli."
,bc,"is used for a dropdown calculator."
,picom,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in PARBS."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
A,google-chrome,"is popular and trusted web browser by Google."
,firefox,"is a web browser."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,pulseaudio-alsa,"is the audio system."
,pulsemixer,"is an audio controller."
,pamixer,"is a command-line audio interface."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,maim,"can take quick screenshots at your request."
,abook,"is an offline addressbook usable by neomutt."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,lynx,"is a terminal browser."
,xcape,"gives the special escape/super mappings of PARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
,xfce4-power-manager,"is a power manager from xfce."
,gparted,"a Partition Magic clone, frontend to GNU Parted."
,udiskie,"automount removable disk using udisks."
,python-pywal,"generates and changes colorschemes on the fly."
,blueman,"GTK+ bluetooth manager."
,network-manager-applet,"Applet for managing network connections."
screenkey,"a screencast tool to display your keys"
A,kdenlive,"a video editor for Linux using MLT video framework."
A,ytfzf,"is a posix script to find and watch youtube videos."
A,subliminal,"python library and CLI tool for searching and downloading subtitles."
A,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell."
A,zsh-autosuggestions, "fish like suggestions for zsh"
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
A,htop-vim-git,"is a graphical and colorful system monitor."
G,https://github.com/prakash2033/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/prakash2033/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/prakash2033/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/prakash2033/dwm.git,"is the window manager."
A,mutt-wizard-git,"is a light-weight terminal-based email system."
,slock,"allows you to lock your computer, and quickly unlock with your password."
A,rider,"is a cross-platform C# IDE by JetBrains."
A,visual-studio-code-bin,"Editor for building and debugging modern web and cloud applications."
A,f5fpc,"command-line VPN client using FastPPP to connect to F5Networks BIG-IP."
A,teams,"for Linux is your chat-centered workspace in Office 365."
A,nvm,"is a Node version manager."
A,ttf-font-awesome,"is a font for dwm tags."
,ttf-indic-otf,"is a font for devnagri (Hindi) fonts."
,ttf-joypixels, "for better emoji colors on dwmblocks"
,wqy-zenhei,"is a Hei Ti Style (sans-serif) Chinese Outline Font."
,arandr,"is a simple visual front end for XRandR."
,thunar,"is a modern file manager for Xfce"
